gene_name_canonical,organelle,source,Note
SDCCAG8,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CCDC15,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CCDC61,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CCDC77,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CDK5RAP2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP120,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP128,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP135,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP152,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP164,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP170,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP192,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP250,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP290,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP295,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP350,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP41,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP55,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP57,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP63,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP68,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP70,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP72,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP76,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP78,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP83,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP85,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP89,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP97,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CETN2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CETN3,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CNTRL,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CNTROB,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CCP110,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CENPJ,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CROCC,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CSPP1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
FAM161A,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CEP20,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CXCL6,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP3,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP4,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP5,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBGCP6,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
HYLS1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
LRRC45,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
MZT1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
MZT2B,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
NEDD1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
NEK2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
NIN,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
ODF2,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
ODF2L,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
OFD1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
PCM1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
PCNT,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
PLK4,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
POC1A,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
POC1B,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
POC5,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
RTTN,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SASS6,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SCLT1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SFI1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SPICE1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
SSNA1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
STIL,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
KIAA0586,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TUBG1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
TBC1D31,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CHMP4B,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
CTSZ,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
DNAJC13,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
EEA1,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
MYOF,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SCAMP1,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SCAMP2,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SCAMP3,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SNX2,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SNX27,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SNX6,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
STAM2,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
STX7,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
TBC1D5,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
VPS26A,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
VPS35,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
AGPAT2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ALG1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ALG8,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ALG9,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
AMFR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ATP13A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ATP6AP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
BLTP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
BTD,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CALR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CCDC47,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CDIPT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CDK5RAP3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CERS5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CHP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CNPY2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CNPY4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CRELD1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CRLF1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DERL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DHRS3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DHRSX,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJB11,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJB14,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJC3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DPAGT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EMC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EMC2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EMC7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EOGT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ERAP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ERO1A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ERP29,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FBLN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FBLN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FKBP14,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FNDC3A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FSTL3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
G6PC3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
GPAT4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
GRAMD2B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
HMOX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
HSP90B1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
HSPA13,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
HSPA5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
IKBIP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ITPR2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
KTN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
LAMB3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
LAMC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
LEMD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
LNPK,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
LPCAT2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
LSG1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
MAGT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
MANF,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
MESD,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
MLEC,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
MOSPD1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
MYDGF,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
NBAS,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
NENF,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
NFXL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
NOMO1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
OSBPL8,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
P3H2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
P3H4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
P4HA2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
PDIA3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
PDIA4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
PDIA5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
PDIA6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
PLOD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
PNPLA6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
POFUT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
POGLUT2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
PREB,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
RCN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
RCN2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
RCN3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
RINT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
RRBP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SCD,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SCFD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SDF2L1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SEC61A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SEC62,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SEC63,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SEL1L,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SELENOF,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SERPINH1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SLC22A18,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SLC39A7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SPCS1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SQLE,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SRP68,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SRPRA,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SSR3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SSR4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ST7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
STT3B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
STX18,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
SYVN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TGFBR1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TM2D3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMBIM6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMCO1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM131,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM199,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM258,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM259,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM33,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM38B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMT1A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMTC3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TOR1B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TOR2A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TRAM1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TREX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TTC13,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TTC17,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TXNDC15,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
TXNDC5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
UBE2J1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
UBXN4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
UFL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
UGT8,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
UTS2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
VAPA,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
WFS1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ABHD12,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ABHD6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ACSL3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ADAM10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ADPGK,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
AGPAT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
AGPAT3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
AGR2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ALDH3A2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PDCD6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ALG5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ALG6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ANKLE2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ANO10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
APMAP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
APOL2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ARL6IP5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ASPH,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ATP2A2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
AUP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BCAP29,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BCAP31,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BNIP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BRI3BP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
C4orf3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CALU,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CANX,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CCDC134,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CDKAL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CEPT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CERS2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CISD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CLCC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CLPTM1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CLPTM1L,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
COL4A2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
COLGALT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
COMT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CPA4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CRELD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CRTAP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYB561D2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYP20A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYP2S1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYP51A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DAD1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DDOST,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DDRGK1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DEGS1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHCR24,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHCR7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHRS13,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHRS7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHRS7B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DNAJB12,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DNAJC10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DPM1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DPM3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EBP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ECEL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EIF2AK3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ELOVL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ELOVL5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EMD,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EPHX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERLIN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERLIN2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERMP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FADS1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FADS3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FDFT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FKBP10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FKBP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FKBP9,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FNDC3B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GANAB,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GDE1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GGCX,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GHDC,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GPAA1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GPX8,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HACD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HACD3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HM13,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HMOX2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HSD17B11,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HSD17B12,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HYOU1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
IKBIP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ILVBL,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ITGB1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ITGB6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ITPR1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ITPR3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
JAGN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
KDSR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
KRTCAP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LAMB1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LBR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LCLAT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LGALS3BP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LMF2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LOXL2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LPCAT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LPCAT3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LPGAT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LRPAP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
