MCS.ID	synonyms	gene.ID	gene.symbol	uniprot	species	MCS	location.literature.	cell.line.tissue	Experimental.Method	source.number	PMID-1	Description-1	Evidences-1	PMID-2	Description-2	Evidences-2	PMID-3	Description-3	Evidences-3	PMID-4	Description-4	Evidences-4	PMID-5	Description-5	Evidences-5	PMID-6	Description-6	Evidences-6	PMID-7	Description-7	Evidences-7	PMID-8	Description-8	Evidences-8	PMID-9	Description-9	Evidences-9	PMID-10	Description-10	Evidences-10	PMID-11	Description-11	Evidences-11	PMID-12	Description-12	Evidences-12
HMCS00011	SMCHD1; KIAA0650	23347	SMCHD1	A6NHR9	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells; Human testis	Mass-spectrometric techniques	2	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00012	LIPT2	387787	LIPT2	A6NK58	Human	ER-MT; MT-ER	MT	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00013	NUDT19	390916	NUDT19	A8MXV4	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00014	ESPN; DFNB36; LP2654	83715	ESPN	B1AK53	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00015	SMIM1	388588	SMIM1	B2RUZ4	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00016	NPIPB6	728741	NPIPB6	E9PJ23	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00017	SLC35A4	113829	SLC35A4	L0R6Q1	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00018	AGPS; AAG5	8540	AGPS	O00116	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells; Human testis	Mass-spectrometric techniques	2	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00019	KIF2A; KIF2; KNS2	3796	KIF2A	O00139	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00020	DDX39A; DDX39	10212	DDX39A	O00148	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00021	PDLIM1; CLIM1; CLP36	9124	PDLIM1	O00151	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells	Mass-spectrometric techniques	1	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00022	MYO1C	4641	MYO1C	O00159	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells; Human testis	Mass-spectrometric techniques	2	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00023	MYO1F	4542	MYO1F	O00160	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00024	SNAP23	8773	SNAP23	O00161	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00025	HAX1; HS1BP1	10456	HAX1	O00165	Human	ER-MT; MT-ER	MT; ER	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00026	STXBP3	6814	STXBP3	O00186	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00027	LGALS8	3964	LGALS8	O00214	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells	Mass-spectrometric techniques	1	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00028	NDUFS8	4728	NDUFS8	O00217	Human	ER-MT; MT-ER	MT	Huh7 cells; Huh7.5 cells; PH5CH8 cells; Human testis	Mass-spectrometric techniques	2	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00029	PSMD12	5718	PSMD12	O00232	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00030	SUPT5H; SPT5; SPT5H	6829	SUPT5H	O00267	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00031	HIP1	3092	HIP1	O00291	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells	Mass-spectrometric techniques	1	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00032	EIF3F; EIF3S5	8665	EIF3F	O00303	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells	Mass-spectrometric techniques	1	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00033	PDHX; PDX1	8050	PDHX	O00330	Human	ER-MT; MT-ER	MT	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00034	QSOX1; QSCN6; UNQ2520/PRO6013	5768	QSOX1	O00391	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00035	WASL	8976	WASL	O00401	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells; Human testis	Mass-spectrometric techniques	2	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00036	POLRMT	5442	POLRMT	O00411	Human	ER-MT; MT-ER	MT	Huh7 cells; Huh7.5 cells; PH5CH8 cells	Mass-spectrometric techniques	1	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00037	GOLIM4; GIMPC; GOLPH4; GPP130	27333	GOLIM4	O00461	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells; Human testis	Mass-spectrometric techniques	2	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00038	AGRN; AGRIN	375790	AGRN	O00468	Human	ER-MT; MT-ER	NA	Huh7 cells; Huh7.5 cells; PH5CH8 cells	Mass-spectrometric techniques	1	25734423	Our results demonstrate that there are many proteins changing in expression on the MAM during RNA virus infection. Many of these proteins are differentially regulated during SenV and HCV but are found to be in a physical interaction network, suggesting that these proteins are co-regulated during the antiviral response.	The protein was detected by LC-MS/MS and proteomics data analysis in Huh7 cells, Huh7.5 cells, PH5CH8 cells.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMCS00039	EXOC5; SEC10; SEC10L1	10640	EXOC5	O00471	Human	ER-MT; MT-ER	NA	Human testis	Mass-spectrometric techniques	1	29785746	By Andromeda search engine against the decoy UniProt-mouse database and Swiss-Prot human database, which yielded 2,808 proteins from mouse testes (mT),2,478 proteins from mouse brain (mB) and 2,155 proteins from human testes (hT).	The protein was detected by TEM and LC -MS/MS analyses in human testis.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
