"","group_id","desc","varname"
"3536","1003","RC complex (Replication competent complex)","RFC1"
"3537","1003","RC complex (Replication competent complex)","RFC5"
"3538","1003","RC complex (Replication competent complex)","RFC3"
"3539","1003","RC complex (Replication competent complex)","POLA2"
"20266","1003","RC complex (Replication competent complex)","POLA"
"20267","1003","RC complex (Replication competent complex)","CCN1"
"20268","1003","RC complex (Replication competent complex)","CCNA"
"20269","1003","RC complex (Replication competent complex)","CDKN2"
"20272","1003","RC complex (Replication competent complex)","RFC140"
"3540","1004","RC complex during S-phase of cell cycle","PARP1"
"3541","1004","RC complex during S-phase of cell cycle","POLA1"
"3542","1004","RC complex during S-phase of cell cycle","TOP1"
"3543","1004","RC complex during S-phase of cell cycle","RPA2"
"3544","1004","RC complex during S-phase of cell cycle","LIG1"
"3545","1004","RC complex during S-phase of cell cycle","CCNA2"
"3546","1004","RC complex during S-phase of cell cycle","CDK2"
"3547","1004","RC complex during S-phase of cell cycle","RPA1"
"3548","1004","RC complex during S-phase of cell cycle","POLD1"
"3549","1004","RC complex during S-phase of cell cycle","RPA3"
"3550","1004","RC complex during S-phase of cell cycle","RFC2"
"3551","1004","RC complex during S-phase of cell cycle","RFC1"
"3552","1004","RC complex during S-phase of cell cycle","POLE"
"20276","1004","RC complex during S-phase of cell cycle","ADPRT"
"20277","1004","RC complex during S-phase of cell cycle","PPOL"
"20278","1004","RC complex during S-phase of cell cycle","POLA"
"20280","1004","RC complex during S-phase of cell cycle","REPA2"
"20281","1004","RC complex during S-phase of cell cycle","RPA32"
"20282","1004","RC complex during S-phase of cell cycle","RPA34"
"20284","1004","RC complex during S-phase of cell cycle","CCN1"
"20285","1004","RC complex during S-phase of cell cycle","CCNA"
"20286","1004","RC complex during S-phase of cell cycle","CDKN2"
"20287","1004","RC complex during S-phase of cell cycle","REPA1"
"20288","1004","RC complex during S-phase of cell cycle","RPA70"
"20289","1004","RC complex during S-phase of cell cycle","POLD"
"20290","1004","RC complex during S-phase of cell cycle","REPA3"
"20291","1004","RC complex during S-phase of cell cycle","RPA14"
"20293","1004","RC complex during S-phase of cell cycle","RFC140"
"20294","1004","RC complex during S-phase of cell cycle","POLE1"
"3553","1005","RC complex during G2/M-phase of cell cycle","CDK1"
"3554","1005","RC complex during G2/M-phase of cell cycle","PARP1"
"3555","1005","RC complex during G2/M-phase of cell cycle","POLA1"
"3556","1005","RC complex during G2/M-phase of cell cycle","TOP1"
"3557","1005","RC complex during G2/M-phase of cell cycle","CCNB1"
"3558","1005","RC complex during G2/M-phase of cell cycle","RPA2"
"3559","1005","RC complex during G2/M-phase of cell cycle","CCNA2"
"3560","1005","RC complex during G2/M-phase of cell cycle","RPA1"
"3561","1005","RC complex during G2/M-phase of cell cycle","POLD1"
"3562","1005","RC complex during G2/M-phase of cell cycle","RPA3"
"3563","1005","RC complex during G2/M-phase of cell cycle","RFC2"
"3564","1005","RC complex during G2/M-phase of cell cycle","RFC1"
"3565","1005","RC complex during G2/M-phase of cell cycle","POLE"
"20295","1005","RC complex during G2/M-phase of cell cycle","CDC2"
"20297","1005","RC complex during G2/M-phase of cell cycle","CDC28A"
"20299","1005","RC complex during G2/M-phase of cell cycle","CDKN1"
"20301","1005","RC complex during G2/M-phase of cell cycle","P34CDC2"
"20302","1005","RC complex during G2/M-phase of cell cycle","ADPRT"
"20303","1005","RC complex during G2/M-phase of cell cycle","PPOL"
"20304","1005","RC complex during G2/M-phase of cell cycle","POLA"
"20306","1005","RC complex during G2/M-phase of cell cycle","CCNB"
"20307","1005","RC complex during G2/M-phase of cell cycle","REPA2"
"20308","1005","RC complex during G2/M-phase of cell cycle","RPA32"
"20309","1005","RC complex during G2/M-phase of cell cycle","RPA34"
"20310","1005","RC complex during G2/M-phase of cell cycle","CCN1"
"20311","1005","RC complex during G2/M-phase of cell cycle","CCNA"
"20312","1005","RC complex during G2/M-phase of cell cycle","REPA1"
"20313","1005","RC complex during G2/M-phase of cell cycle","RPA70"
"20314","1005","RC complex during G2/M-phase of cell cycle","POLD"
"20315","1005","RC complex during G2/M-phase of cell cycle","REPA3"
"20316","1005","RC complex during G2/M-phase of cell cycle","RPA14"
"20318","1005","RC complex during G2/M-phase of cell cycle","RFC140"
"20319","1005","RC complex during G2/M-phase of cell cycle","POLE1"
"3566","1007","CAK core complex (Cdk-activating kinase core complex)","CDK7"
"3567","1007","CAK core complex (Cdk-activating kinase core complex)","CCNH"
"20320","1007","CAK core complex (Cdk-activating kinase core complex)","CAK"
"20322","1007","CAK core complex (Cdk-activating kinase core complex)","CAK1"
"20324","1007","CAK core complex (Cdk-activating kinase core complex)","CDKN7"
"20326","1007","CAK core complex (Cdk-activating kinase core complex)","MO15"
"20328","1007","CAK core complex (Cdk-activating kinase core complex)","STK1"
"3568","1008","CAK complex (Cdk-activating kinase complex)","CDK7"
"3569","1008","CAK complex (Cdk-activating kinase complex)","CCNH"
"3570","1008","CAK complex (Cdk-activating kinase complex)","MNAT1"
"20330","1008","CAK complex (Cdk-activating kinase complex)","CAK"
"20332","1008","CAK complex (Cdk-activating kinase complex)","CAK1"
"20334","1008","CAK complex (Cdk-activating kinase complex)","CDKN7"
"20336","1008","CAK complex (Cdk-activating kinase complex)","MO15"
"20338","1008","CAK complex (Cdk-activating kinase complex)","STK1"
"20340","1008","CAK complex (Cdk-activating kinase complex)","CAP35"
"20342","1008","CAK complex (Cdk-activating kinase complex)","MAT1"
"20344","1008","CAK complex (Cdk-activating kinase complex)","RNF66"
"3571","1009","TFIIH transcription factor complex","ERCC2"
"3572","1009","TFIIH transcription factor complex","ERCC3"
"3573","1009","TFIIH transcription factor complex","GTF2H1"
"3574","1009","TFIIH transcription factor complex","CDK7"
"3575","1009","TFIIH transcription factor complex","CCNH"
"3576","1009","TFIIH transcription factor complex","MNAT1"
"3577","1009","TFIIH transcription factor complex","GTF2H2"
"3578","1009","TFIIH transcription factor complex","GTF2H3"
"3579","1009","TFIIH transcription factor complex","GTF2H5"
"3580","1009","TFIIH transcription factor complex","GTF2H4"
"20345","1009","TFIIH transcription factor complex","XPD"
"20347","1009","TFIIH transcription factor complex","XPDC"
"20348","1009","TFIIH transcription factor complex","XPB"
"20350","1009","TFIIH transcription factor complex","XPBC"
"20351","1009","TFIIH transcription factor complex","BTF2"
"20352","1009","TFIIH transcription factor complex","CAK"
"20354","1009","TFIIH transcription factor complex","CAK1"
"20356","1009","TFIIH transcription factor complex","CDKN7"
"20358","1009","TFIIH transcription factor complex","MO15"
"20360","1009","TFIIH transcription factor complex","STK1"
"20362","1009","TFIIH transcription factor complex","CAP35"
"20364","1009","TFIIH transcription factor complex","MAT1"
"20366","1009","TFIIH transcription factor complex","RNF66"
"20367","1009","TFIIH transcription factor complex","BTF2P44"
"20369","1009","TFIIH transcription factor complex","C6orf175"
"20370","1009","TFIIH transcription factor complex","TTDA"
"3581","1010","CAK complex (Cdk-activating kinase complex)","CDK7"
"3582","1010","CAK complex (Cdk-activating kinase complex)","CCNH"
"3583","1010","CAK complex (Cdk-activating kinase complex)","MNAT1"
"20372","1010","CAK complex (Cdk-activating kinase complex)","CAK"
"20374","1010","CAK complex (Cdk-activating kinase complex)","CAK1"
"20376","1010","CAK complex (Cdk-activating kinase complex)","CDKN7"
"20378","1010","CAK complex (Cdk-activating kinase complex)","MO15"
"20380","1010","CAK complex (Cdk-activating kinase complex)","STK1"
"20382","1010","CAK complex (Cdk-activating kinase complex)","CAP35"
"20384","1010","CAK complex (Cdk-activating kinase complex)","MAT1"
"20386","1010","CAK complex (Cdk-activating kinase complex)","RNF66"
"3584","1028","HNF4A-SUB1 complex","HNF4A"
"3585","1028","HNF4A-SUB1 complex","SUB1"
"20387","1028","HNF4A-SUB1 complex","HNF4"
"20388","1028","HNF4A-SUB1 complex","NR2A1"
"20389","1028","HNF4A-SUB1 complex","TCF14"
"20390","1028","HNF4A-SUB1 complex","PC4"
"20391","1028","HNF4A-SUB1 complex","RPO2TC1"
"3586","1029","TFIIH transcription factor complex","ERCC2"
"3587","1029","TFIIH transcription factor complex","ERCC3"
"3588","1029","TFIIH transcription factor complex","GTF2H1"
"3589","1029","TFIIH transcription factor complex","CDK7"
"3590","1029","TFIIH transcription factor complex","CCNH"
"3591","1029","TFIIH transcription factor complex","MNAT1"
"3592","1029","TFIIH transcription factor complex","GTF2H2"
"3593","1029","TFIIH transcription factor complex","GTF2H3"
"3594","1029","TFIIH transcription factor complex","GTF2H5"
"3595","1029","TFIIH transcription factor complex","GTF2H4"
"20392","1029","TFIIH transcription factor complex","XPD"
"20394","1029","TFIIH transcription factor complex","XPDC"
"20395","1029","TFIIH transcription factor complex","XPB"
"20397","1029","TFIIH transcription factor complex","XPBC"
"20398","1029","TFIIH transcription factor complex","BTF2"
"20399","1029","TFIIH transcription factor complex","CAK"
"20401","1029","TFIIH transcription factor complex","CAK1"
"20403","1029","TFIIH transcription factor complex","CDKN7"
"20405","1029","TFIIH transcription factor complex","MO15"
"20407","1029","TFIIH transcription factor complex","STK1"
"20409","1029","TFIIH transcription factor complex","CAP35"
"20411","1029","TFIIH transcription factor complex","MAT1"
"20413","1029","TFIIH transcription factor complex","RNF66"
"20414","1029","TFIIH transcription factor complex","BTF2P44"
"20416","1029","TFIIH transcription factor complex","C6orf175"
"20417","1029","TFIIH transcription factor complex","TTDA"
"252","103","RNA polymerase II holoenzyme complex","POLR2D"
"253","103","RNA polymerase II holoenzyme complex","GTF2F2"
"254","103","RNA polymerase II holoenzyme complex","ERCC2"
"255","103","RNA polymerase II holoenzyme complex","POLR2C"
"256","103","RNA polymerase II holoenzyme complex","POLR2E"
"257","103","RNA polymerase II holoenzyme complex","ERCC3"
"258","103","RNA polymerase II holoenzyme complex","TBP"
"259","103","RNA polymerase II holoenzyme complex","POLR2A"
"260","103","RNA polymerase II holoenzyme complex","GTF2E1"
"261","103","RNA polymerase II holoenzyme complex","GTF2E2"
"262","103","RNA polymerase II holoenzyme complex","POLR2B"
"263","103","RNA polymerase II holoenzyme complex","GTF2H1"
"264","103","RNA polymerase II holoenzyme complex","GTF2F1"
"265","103","RNA polymerase II holoenzyme complex","POLR2I"
"266","103","RNA polymerase II holoenzyme complex","POLR2H"
"267","103","RNA polymerase II holoenzyme complex","POLR2J"
"268","103","RNA polymerase II holoenzyme complex","POLR2K"
"269","103","RNA polymerase II holoenzyme complex","POLR2F"
"270","103","RNA polymerase II holoenzyme complex","POLR2G"
"271","103","RNA polymerase II holoenzyme complex","POLR2L"
"272","103","RNA polymerase II holoenzyme complex","GTF2B"
"273","103","RNA polymerase II holoenzyme complex","GTF2H2"
"274","103","RNA polymerase II holoenzyme complex","GTF2H3"
"275","103","RNA polymerase II holoenzyme complex","GTF2H4"
"12809","103","RNA polymerase II holoenzyme complex","RAP30"
"12810","103","RNA polymerase II holoenzyme complex","XPD"
"12812","103","RNA polymerase II holoenzyme complex","XPDC"
"12815","103","RNA polymerase II holoenzyme complex","XPB"
"12817","103","RNA polymerase II holoenzyme complex","XPBC"
"12818","103","RNA polymerase II holoenzyme complex","GTF2D1"
"12819","103","RNA polymerase II holoenzyme complex","TF2D"
"12820","103","RNA polymerase II holoenzyme complex","TFIID"
"12821","103","RNA polymerase II holoenzyme complex","POLR2"
"12822","103","RNA polymerase II holoenzyme complex","TF2E1"
"12823","103","RNA polymerase II holoenzyme complex","TF2E2"
"12825","103","RNA polymerase II holoenzyme complex","BTF2"
"12826","103","RNA polymerase II holoenzyme complex","RAP74"
"12829","103","RNA polymerase II holoenzyme complex","POLR2J1"
"12831","103","RNA polymerase II holoenzyme complex","POLRF"
"12832","103","RNA polymerase II holoenzyme complex","RPB7"
"12834","103","RNA polymerase II holoenzyme complex","TF2B"
"12835","103","RNA polymerase II holoenzyme complex","TFIIB"
"12836","103","RNA polymerase II holoenzyme complex","BTF2P44"
"3596","1030","CAK-ERCC2 complex","ERCC2"
"3597","1030","CAK-ERCC2 complex","CDK7"
"3598","1030","CAK-ERCC2 complex","CCNH"
"3599","1030","CAK-ERCC2 complex","MNAT1"
"20419","1030","CAK-ERCC2 complex","XPD"
"20421","1030","CAK-ERCC2 complex","XPDC"
"20422","1030","CAK-ERCC2 complex","CAK"
"20424","1030","CAK-ERCC2 complex","CAK1"
"20426","1030","CAK-ERCC2 complex","CDKN7"
"20428","1030","CAK-ERCC2 complex","MO15"
"20430","1030","CAK-ERCC2 complex","STK1"
"20432","1030","CAK-ERCC2 complex","CAP35"
"20434","1030","CAK-ERCC2 complex","MAT1"
"20436","1030","CAK-ERCC2 complex","RNF66"
"3600","1031","ORC complex (origin recognition complex)","ORC5"
"3601","1031","ORC complex (origin recognition complex)","ORC4"
"3602","1031","ORC complex (origin recognition complex)","ORC1"
"3603","1031","ORC complex (origin recognition complex)","ORC2"
"3604","1031","ORC complex (origin recognition complex)","ORC3"
"3605","1031","ORC complex (origin recognition complex)","ORC6"
"20437","1031","ORC complex (origin recognition complex)","ORC5L"
"20438","1031","ORC complex (origin recognition complex)","ORC4L"
"20439","1031","ORC complex (origin recognition complex)","ORC1L"
"20440","1031","ORC complex (origin recognition complex)","PARC1"
"20441","1031","ORC complex (origin recognition complex)","ORC2L"
"20442","1031","ORC complex (origin recognition complex)","LATHEO"
"20443","1031","ORC complex (origin recognition complex)","ORC3L"
"20444","1031","ORC complex (origin recognition complex)","ORC6L"
"3606","1032","ORC 2-4 complex (origin recognition 2-4 complex)","ORC4"
"3607","1032","ORC 2-4 complex (origin recognition 2-4 complex)","ORC2"
"3608","1032","ORC 2-4 complex (origin recognition 2-4 complex)","ORC3"
"20445","1032","ORC 2-4 complex (origin recognition 2-4 complex)","ORC4L"
"20446","1032","ORC 2-4 complex (origin recognition 2-4 complex)","ORC2L"
"20447","1032","ORC 2-4 complex (origin recognition 2-4 complex)","LATHEO"
"20448","1032","ORC 2-4 complex (origin recognition 2-4 complex)","ORC3L"
"3609","1033","ORC complex (origin recognition complex)","ORC5"
"3610","1033","ORC complex (origin recognition complex)","ORC4"
"3611","1033","ORC complex (origin recognition complex)","ORC1"
"3612","1033","ORC complex (origin recognition complex)","ORC2"
"3613","1033","ORC complex (origin recognition complex)","ORC3"
"3614","1033","ORC complex (origin recognition complex)","ORC6"
"20449","1033","ORC complex (origin recognition complex)","ORC5L"
"20450","1033","ORC complex (origin recognition complex)","ORC4L"
"20451","1033","ORC complex (origin recognition complex)","ORC1L"
"20452","1033","ORC complex (origin recognition complex)","PARC1"
"20453","1033","ORC complex (origin recognition complex)","ORC2L"
"20454","1033","ORC complex (origin recognition complex)","LATHEO"
"20455","1033","ORC complex (origin recognition complex)","ORC3L"
"20456","1033","ORC complex (origin recognition complex)","ORC6L"
"3615","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC5"
"3616","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC4"
"3617","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC2"
"3618","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC3"
"20457","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC5L"
"20458","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC4L"
"20459","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC2L"
"20460","1034","ORC 2-5 complex (origin recognition 2-5 complex)","LATHEO"
"20461","1034","ORC 2-5 complex (origin recognition 2-5 complex)","ORC3L"
"3619","1036","TFIIH transcription factor complex","ERCC2"
"3620","1036","TFIIH transcription factor complex","ERCC3"
"3621","1036","TFIIH transcription factor complex","GTF2H1"
"3622","1036","TFIIH transcription factor complex","CDK7"
"3623","1036","TFIIH transcription factor complex","CCNH"
"3624","1036","TFIIH transcription factor complex","MNAT1"
"3625","1036","TFIIH transcription factor complex","GTF2H2"
"3626","1036","TFIIH transcription factor complex","GTF2H3"
"3627","1036","TFIIH transcription factor complex","GTF2H4"
"20462","1036","TFIIH transcription factor complex","XPD"
"20464","1036","TFIIH transcription factor complex","XPDC"
"20465","1036","TFIIH transcription factor complex","XPB"
"20467","1036","TFIIH transcription factor complex","XPBC"
"20468","1036","TFIIH transcription factor complex","BTF2"
"20469","1036","TFIIH transcription factor complex","CAK"
"20471","1036","TFIIH transcription factor complex","CAK1"
"20473","1036","TFIIH transcription factor complex","CDKN7"
"20475","1036","TFIIH transcription factor complex","MO15"
"20477","1036","TFIIH transcription factor complex","STK1"
"20479","1036","TFIIH transcription factor complex","CAP35"
"20481","1036","TFIIH transcription factor complex","MAT1"
"20483","1036","TFIIH transcription factor complex","RNF66"
"20484","1036","TFIIH transcription factor complex","BTF2P44"
"3628","1037","TFIIH transcription factor core complex","ERCC3"
"3629","1037","TFIIH transcription factor core complex","GTF2H1"
"3630","1037","TFIIH transcription factor core complex","GTF2H2"
"3631","1037","TFIIH transcription factor core complex","GTF2H3"
"3632","1037","TFIIH transcription factor core complex","GTF2H4"
"20487","1037","TFIIH transcription factor core complex","XPB"
"20489","1037","TFIIH transcription factor core complex","XPBC"
"20490","1037","TFIIH transcription factor core complex","BTF2"
"20491","1037","TFIIH transcription factor core complex","BTF2P44"
"3633","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC5"
"3634","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC4"
"3635","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC1"
"3636","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC2"
"3637","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC3"
"20494","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC5L"
"20495","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC4L"
"20496","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC1L"
"20497","1038","ORC 1-5 complex (origin recognition 1-5 complex)","PARC1"
"20498","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC2L"
"20499","1038","ORC 1-5 complex (origin recognition 1-5 complex)","LATHEO"
"20500","1038","ORC 1-5 complex (origin recognition 1-5 complex)","ORC3L"
"3638","1039","PCNA-PAF complex","PCNA"
"3639","1039","PCNA-PAF complex","KIAA0101"
"20502","1039","PCNA-PAF complex","NS5ATP9"
"20503","1039","PCNA-PAF complex","PAF"
"276","104","RNA polymerase II core complex","POLR2D"
"277","104","RNA polymerase II core complex","POLR2C"
"278","104","RNA polymerase II core complex","POLR2E"
"279","104","RNA polymerase II core complex","POLR2A"
"280","104","RNA polymerase II core complex","POLR2B"
"281","104","RNA polymerase II core complex","POLR2I"
"282","104","RNA polymerase II core complex","POLR2H"
"283","104","RNA polymerase II core complex","POLR2J"
"284","104","RNA polymerase II core complex","POLR2K"
"285","104","RNA polymerase II core complex","POLR2F"
"286","104","RNA polymerase II core complex","POLR2G"
"287","104","RNA polymerase II core complex","POLR2L"
"12842","104","RNA polymerase II core complex","POLR2"
"12846","104","RNA polymerase II core complex","POLR2J1"
"12848","104","RNA polymerase II core complex","POLRF"
"12849","104","RNA polymerase II core complex","RPB7"
"3640","1040","p33ING1b-PCNA complex","KIAA0101"
"3641","1040","p33ING1b-PCNA complex","ING1"
"20504","1040","p33ING1b-PCNA complex","NS5ATP9"
"20505","1040","p33ING1b-PCNA complex","PAF"
"3642","1041","Alpha-dystrobrevin-ZO-1-actin complex","ACTB"
"3643","1041","Alpha-dystrobrevin-ZO-1-actin complex","TJP1"
"3644","1041","Alpha-dystrobrevin-ZO-1-actin complex","DTNA"
"20508","1041","Alpha-dystrobrevin-ZO-1-actin complex","ZO1"
"20509","1041","Alpha-dystrobrevin-ZO-1-actin complex","DRP3"
"3645","1042","SRA-SRC-1 ribonucleoprotein complex","NCOA1"
"3646","1042","SRA-SRC-1 ribonucleoprotein complex","SRA1"
"20510","1042","SRA-SRC-1 ribonucleoprotein complex","BHLHE74"
"20512","1042","SRA-SRC-1 ribonucleoprotein complex","SRC1"
"3647","1045","Snurportin-CRM1-RanGTP complex","XPO1"
"3648","1045","Snurportin-CRM1-RanGTP complex","SNUPN"
"3649","1045","Snurportin-CRM1-RanGTP complex","RAN"
"20513","1045","Snurportin-CRM1-RanGTP complex","CRM1"
"20514","1045","Snurportin-CRM1-RanGTP complex","RNUT1"
"20515","1045","Snurportin-CRM1-RanGTP complex","SPN1"
"20516","1045","Snurportin-CRM1-RanGTP complex","ARA24"
"288","105","Polycomb repressive complex 2 (PRC 2)","EED"
"289","105","Polycomb repressive complex 2 (PRC 2)","RBBP4"
"290","105","Polycomb repressive complex 2 (PRC 2)","SUZ12"
"291","105","Polycomb repressive complex 2 (PRC 2)","EZH2"
"292","105","Polycomb repressive complex 2 (PRC 2)","RBBP7"
"12851","105","Polycomb repressive complex 2 (PRC 2)","RBAP48"
"12852","105","Polycomb repressive complex 2 (PRC 2)","CHET9"
"12854","105","Polycomb repressive complex 2 (PRC 2)","JJAZ1"
"12856","105","Polycomb repressive complex 2 (PRC 2)","KIAA0160"
"12857","105","Polycomb repressive complex 2 (PRC 2)","KMT6"
"12858","105","Polycomb repressive complex 2 (PRC 2)","RBAP46"
"3650","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","RBX1"
"3651","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","SKP1"
"3652","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","SKP2"
"3653","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","CUL1"
"20517","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","RNF75"
"20519","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","ROC1"
"20520","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","EMC19"
"20522","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","OCP2"
"20524","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","SKP1A"
"20526","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","TCEB1L"
"20527","1051","Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","FBXL1"
"3654","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","RBX1"
"3655","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","SKP1"
"3656","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","CUL1"
"3657","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","FBXW11"
"20529","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","RNF75"
"20531","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","ROC1"
"20532","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","EMC19"
"20534","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","OCP2"
"20536","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","SKP1A"
"20538","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","TCEB1L"
"20540","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","TRCP2"
"20542","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","BTRCP2"
"20544","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","FBW1B"
"20546","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","FBXW1B"
"20548","1052","Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)","KIAA0696"
"3658","1054","ESR1-RELA-BCL3-NCOA3 complex","ESR1"
"3659","1054","ESR1-RELA-BCL3-NCOA3 complex","BCL3"
"3660","1054","ESR1-RELA-BCL3-NCOA3 complex","RELA"
"3661","1054","ESR1-RELA-BCL3-NCOA3 complex","NCOA3"
"20549","1054","ESR1-RELA-BCL3-NCOA3 complex","ESRA"
"20551","1054","ESR1-RELA-BCL3-NCOA3 complex","NR3A1"
"20552","1054","ESR1-RELA-BCL3-NCOA3 complex","BCL4"
"20553","1054","ESR1-RELA-BCL3-NCOA3 complex","D19S37"
"20554","1054","ESR1-RELA-BCL3-NCOA3 complex","NFKB3"
"20556","1054","ESR1-RELA-BCL3-NCOA3 complex","p65"
"20557","1054","ESR1-RELA-BCL3-NCOA3 complex","AIB1"
"20559","1054","ESR1-RELA-BCL3-NCOA3 complex","BHLHE42"
"20561","1054","ESR1-RELA-BCL3-NCOA3 complex","RAC3"
"20563","1054","ESR1-RELA-BCL3-NCOA3 complex","TRAM1"
"20565","1054","ESR1-RELA-BCL3-NCOA3 complex","ACTR"
"3662","1055","ZNF198-PML complex","PML"
"3663","1055","ZNF198-PML complex","ZMYM2"
"20566","1055","ZNF198-PML complex","MYL"
"20567","1055","ZNF198-PML complex","PP8675"
"20568","1055","ZNF198-PML complex","RNF71"
"20569","1055","ZNF198-PML complex","TRIM19"
"20570","1055","ZNF198-PML complex","FIM"
"20571","1055","ZNF198-PML complex","RAMP"
"20572","1055","ZNF198-PML complex","ZNF198"
"3664","1056","ZNF198-SUMO1 complex","SUMO1"
"3665","1056","ZNF198-SUMO1 complex","ZMYM2"
"20573","1056","ZNF198-SUMO1 complex","SMT3C"
"20575","1056","ZNF198-SUMO1 complex","SMT3H3"
"20577","1056","ZNF198-SUMO1 complex","UBL1"
"20578","1056","ZNF198-SUMO1 complex","FIM"
"20579","1056","ZNF198-SUMO1 complex","RAMP"
"20580","1056","ZNF198-SUMO1 complex","ZNF198"
"3666","1057","DIPA-MCRS1 complex","CCDC85B"
