Protein IDs,Compartment,Gene names,Normalized Map profiles,Fraction MAP1_01K,Fraction MAP1_03K,Fraction MAP1_06K,Fraction MAP1_12K,Fraction MAP1_24K,Fraction MAP1_80K,Fraction MAP2_01K,Fraction MAP2_03K,Fraction MAP2_06K,Fraction MAP2_12K,Fraction MAP2_24K,Fraction MAP2_80K,Fraction MAP3_01K,Fraction MAP3_03K,Fraction MAP3_06K,Fraction MAP3_12K,Fraction MAP3_24K,Fraction MAP3_80K,SVM predictions,Actin binding proteins,ER,Endosome,Ergic/ cisGolgi,Golgi,Large Protein Complex,Lysosome,Mitochondrion,Nuclear pore complex,Peroxisome,Plasma membrane,Protein IDs,Compartment Marker,Gene names,PredictionMax probability,Prediction Winner,Multiple Prediction Winners?,Classification,Confidence
P17301,undefined,ITGA2,,0.109258466,0.256978746,0.265933377,0.218811428,0.102303064,0.04671492,0.096857294,0.276511699,0.250594313,0.223917279,0.098186677,0.05393274,0.10851616,0.231556971,0.265605096,0.226888417,0.108478415,0.058954942,,0.001514294,0.001856587,0.001238409,0.001889569,0.003346584,0.000335741,0.000831667,0.000781557,0.000694275,0.00081156,0.986699758,P17301, ,ITGA2,0.987,Plasma membrane,no,Plasma membrane,Very High
Q01974,Plasma membrane,ROR2,,0.10982059,0.275500422,0.257939694,0.213405245,0.10300764,0.04032641,0.119058942,0.281951012,0.264512174,0.208051161,0.085444749,0.040981962,0.120795082,0.240126549,0.253659578,0.229816356,0.116360978,0.039241458,,0.002052508,0.001601773,0.001272651,0.001257154,0.003468282,0.000297986,0.000835378,0.001155505,0.000771503,0.000639291,0.986647971,Q01974,Plasma membrane,ROR2,0.987,Plasma membrane,no,Plasma membrane,Very High
P29992,undefined,GNA11,,0.125728027,0.276412452,0.270889488,0.209322975,0.085505523,0.032141536,0.129740754,0.282053275,0.253376251,0.219505201,0.083546624,0.031777895,0.128981221,0.279161184,0.261771038,0.201148832,0.095840175,0.03309755,,0.002565464,0.001479898,0.001343962,0.000939117,0.003402964,0.000331638,0.000878961,0.001377003,0.000842143,0.000598051,0.986240799,P29992, ,GNA11,0.986,Plasma membrane,no,Plasma membrane,Very High
P07947,undefined,YES1,,0.128326812,0.266245216,0.256045377,0.203121178,0.103656034,0.042605384,0.112206586,0.281020931,0.250685737,0.20882855,0.099594948,0.047663248,0.125968495,0.260929431,0.246890142,0.215197023,0.103956944,0.047057965,,0.003220015,0.001300683,0.000970472,0.001291263,0.003958589,0.00033392,0.000614173,0.001015884,0.000675901,0.000498875,0.986120225,P07947, ,YES1,0.986,Plasma membrane,no,Plasma membrane,Very High
P08069,Plasma membrane,IGF1R,,0.105588406,0.23867383,0.256730121,0.227784564,0.113313947,0.057909131,0.109461145,0.259017835,0.2408152,0.222060557,0.107065703,0.061579561,0.100659505,0.223670791,0.262642779,0.223188061,0.123857765,0.065981099,,0.001578522,0.00207399,0.001622744,0.002947772,0.002325818,0.000383495,0.000912558,0.000581755,0.000678423,0.000848566,0.986046357,P08069,Plasma membrane,IGF1R,0.986,Plasma membrane,no,Plasma membrane,Very High
P56199,undefined,ITGA1,,0.124692817,0.264404339,0.24093321,0.212922817,0.108774086,0.048272732,0.10364543,0.263122987,0.271837019,0.220399863,0.090056975,0.050937727,0.104350696,0.248417435,0.267110415,0.220335709,0.096350342,0.063435404,,0.001978399,0.001785052,0.001146514,0.00136102,0.004269017,0.000348656,0.000742005,0.000836895,0.000676169,0.000826066,0.986030205,P56199, ,ITGA1,0.986,Plasma membrane,no,Plasma membrane,Very High
P21926,Plasma membrane,CD9,,0.109144798,0.242780796,0.238851158,0.245726254,0.119305212,0.044191783,0.105416972,0.308007423,0.242810614,0.199472316,0.101408842,0.042883834,0.115260604,0.255876492,0.250928339,0.223774308,0.110146019,0.044014239,,0.002169366,0.001421634,0.001238074,0.001982524,0.003544938,0.000464673,0.000859604,0.001015439,0.000754127,0.000559466,0.985990156,P21926,Plasma membrane,CD9,0.986,Plasma membrane,no,Plasma membrane,Very High
O60245,Plasma membrane,PCDH7,,0.115532028,0.266030825,0.260628321,0.219015453,0.096935863,0.04185751,0.104274736,0.281926824,0.272379526,0.21260432,0.083830621,0.044983973,0.111265981,0.236983734,0.256727377,0.2341494,0.112643134,0.048230375,,0.0016797,0.001968426,0.001377053,0.001312421,0.003643386,0.000337426,0.000979574,0.00114096,0.000754756,0.000840026,0.985966273,O60245,Plasma membrane,PCDH7,0.986,Plasma membrane,no,Plasma membrane,Very High
P08581,Plasma membrane,MET,,0.112347791,0.278829263,0.252294953,0.214492206,0.092628026,0.049407762,0.112997663,0.280560822,0.259014153,0.214033773,0.087637229,0.04575636,0.118685801,0.257389571,0.270864435,0.218354988,0.093670197,0.041035009,,0.002100224,0.001517112,0.001039597,0.001265293,0.004910277,0.000302028,0.000741417,0.001006018,0.000713083,0.000675046,0.985729904,P08581,Plasma membrane,MET,0.986,Plasma membrane,no,Plasma membrane,Very High
Q5JWF2,undefined,GNAS,,0.121155954,0.26926469,0.257255796,0.206958971,0.105090117,0.040274473,0.12072116,0.274666913,0.260939873,0.207402176,0.094183524,0.042086353,0.12732621,0.2662066,0.259402539,0.200241141,0.105275116,0.041548393,,0.002853824,0.001438311,0.001001154,0.001228738,0.004295461,0.000298503,0.000688424,0.001321538,0.000720561,0.000540113,0.985613372,Q5JWF2, ,GNAS,0.986,Plasma membrane,no,Plasma membrane,Very High
P10301,undefined,RRAS,,0.109004343,0.269720278,0.257088328,0.210325572,0.105152681,0.048708798,0.098304702,0.259661983,0.267985039,0.225811028,0.102076856,0.046160393,0.115408771,0.256769034,0.276232652,0.207197128,0.100975372,0.043417044,,0.001596371,0.001760509,0.001067603,0.001498026,0.004964585,0.00027847,0.000649866,0.001102242,0.000709437,0.000783269,0.985589621,P10301, ,RRAS,0.986,Plasma membrane,no,Plasma membrane,Very High
Q9Y5J5,undefined,PHLDA3,,0.115596898,0.265159862,0.239889053,0.217678723,0.104442766,0.057232698,0.12719564,0.283136346,0.265604562,0.19753653,0.104925961,0.021600962,0.12913109,0.264094431,0.246393843,0.21169986,0.100760231,0.047920545,,0.003283145,0.001276392,0.001135127,0.001214439,0.00405684,0.000320413,0.000662471,0.001212568,0.000706369,0.000567593,0.985564644,Q9Y5J5, ,PHLDA3,0.986,Plasma membrane,no,Plasma membrane,Very High
P08754,undefined,GNAI3,,0.118494662,0.270529433,0.25992834,0.220774626,0.095662858,0.034610082,0.103616484,0.293782971,0.266615186,0.219437043,0.084407181,0.032141136,0.114361364,0.270628871,0.27159714,0.207725259,0.102788655,0.032898712,,0.001717595,0.0015783,0.001204556,0.001152651,0.004761394,0.000318874,0.000815729,0.001423373,0.000799103,0.000665901,0.985562526,P08754, ,GNAI3,0.986,Plasma membrane,no,Plasma membrane,Very High
O15427,Plasma membrane,SLC16A3,,0.132684182,0.267973066,0.263355869,0.206870489,0.0975433,0.031573094,0.118087803,0.257066903,0.277258054,0.206861006,0.100643381,0.040082854,0.118623385,0.26129998,0.277989163,0.215311139,0.092592282,0.034184052,,0.001885386,0.00248902,0.001573226,0.000819866,0.003612122,0.000285402,0.000856209,0.001347725,0.000790436,0.000850708,0.9854899,O15427,Plasma membrane,SLC16A3,0.985,Plasma membrane,no,Plasma membrane,Very High
Q5ZPR3,undefined,CD276,,0.105973415,0.235027854,0.25975621,0.241197992,0.115912559,0.04213197,0.090539286,0.263387628,0.270730019,0.24299097,0.096997215,0.035354882,0.100224333,0.232802612,0.28207485,0.222431177,0.123855004,0.038612024,,0.000939515,0.004192546,0.001925624,0.001138252,0.001743553,0.000274175,0.001062299,0.000999654,0.000832212,0.001472972,0.985419198,Q5ZPR3, ,CD276,0.985,Plasma membrane,no,Plasma membrane,Very High
P48509,undefined,CD151,,0.116824985,0.233679244,0.252600317,0.248821425,0.109340384,0.038733645,0.11107646,0.253214929,0.26533662,0.222141631,0.103354703,0.044875657,0.107984346,0.235642251,0.287117009,0.220859237,0.105647921,0.042749236,,0.00104849,0.00454251,0.002177727,0.000950775,0.001506164,0.000266987,0.001222055,0.00076028,0.000757625,0.00136592,0.985401468,P48509, ,CD151,0.985,Plasma membrane,no,Plasma membrane,Very High
Q4KMP7,undefined,TBC1D10B,,0.142373692,0.258938456,0.231528658,0.20325395,0.113556449,0.050348795,0.127031346,0.288853032,0.221265822,0.203423045,0.109388531,0.050038224,0.124463293,0.262944899,0.23720404,0.23029869,0.104723621,0.040365457,,0.005288554,0.001156878,0.00119621,0.001169598,0.003012491,0.000487124,0.000589939,0.000646332,0.000708579,0.00045315,0.985291145,Q4KMP7, ,TBC1D10B,0.985,Plasma membrane,no,Plasma membrane,Very High
Q4KMQ2,Plasma membrane,ANO6,,0.102069809,0.222499386,0.250675773,0.24469237,0.119156104,0.060906559,0.103180366,0.249834975,0.233094817,0.228969187,0.116864257,0.068056399,0.113226562,0.220513165,0.255016215,0.225919429,0.118702136,0.066622492,,0.001443837,0.002337528,0.002435898,0.003474061,0.001404675,0.000394824,0.001101609,0.000515424,0.000688414,0.000978936,0.985224794,Q4KMQ2,Plasma membrane,ANO6,0.985,Plasma membrane,no,Plasma membrane,Very High
P32004,Plasma membrane,L1CAM,,0.109091759,0.270399447,0.273123614,0.219901756,0.097770968,0.029712456,0.110318247,0.27555104,0.272992375,0.216384595,0.090719732,0.03403401,0.119303677,0.249236528,0.283309586,0.220206197,0.096702024,0.031241988,,0.001339214,0.002896804,0.001644433,0.000994758,0.003440987,0.000293038,0.001022094,0.001398912,0.00083351,0.000960631,0.985175618,P32004,Plasma membrane,L1CAM,0.985,Plasma membrane,no,Plasma membrane,Very High
Q8IWT6,Plasma membrane,LRRC8A,,0.114726608,0.253531403,0.268076241,0.232147772,0.085825744,0.045692232,0.11065729,0.276406495,0.265264381,0.230796424,0.075526489,0.041348922,0.117327476,0.246664902,0.278726305,0.233723314,0.083677385,0.03988062,,0.001173476,0.004230429,0.001736868,0.000883838,0.002130553,0.00033885,0.001231025,0.000969163,0.000789459,0.001372345,0.985143995,Q8IWT6,Plasma membrane,LRRC8A,0.985,Plasma membrane,no,Plasma membrane,Very High
Q8IWA5,undefined,SLC44A2,,0.105847213,0.263431971,0.273159078,0.213638444,0.101180166,0.042743129,0.113162257,0.2673942,0.274101117,0.214051127,0.094691081,0.036600218,0.119863939,0.229140705,0.260916268,0.222590418,0.120243056,0.047245615,,0.001570665,0.002851411,0.001599809,0.00140205,0.003231079,0.000295686,0.00098095,0.001322198,0.000783504,0.000928241,0.985034408,Q8IWA5, ,SLC44A2,0.985,Plasma membrane,no,Plasma membrane,Very High
Q9Y624,Plasma membrane,F11R,,0.112162588,0.265992413,0.254077706,0.207454567,0.110151125,0.050161602,0.099458105,0.268403345,0.263132942,0.212190986,0.104412441,0.052402182,0.12414812,0.248518847,0.254364312,0.214616796,0.108664645,0.04968728,,0.002404199,0.001591755,0.00103591,0.001931024,0.004932605,0.000331133,0.000635986,0.001108409,0.00066535,0.000628618,0.984735012,Q9Y624,Plasma membrane,F11R,0.985,Plasma membrane,no,Plasma membrane,Very High
P54826,Plasma membrane,GAS1,,0.125748826,0.255678145,0.209681938,0.218398483,0.122645779,0.06784683,0.090292859,0.232900849,0.256977197,0.230184665,0.113189812,0.076454618,0.123513394,0.237323076,0.251704534,0.218600483,0.115304704,0.05355381,,0.003015382,0.001659414,0.001786055,0.002934399,0.002926267,0.000512023,0.00064209,0.000626383,0.00068332,0.000805833,0.984408833,P54826,Plasma membrane,GAS1,0.984,Plasma membrane,no,Plasma membrane,Very High
Q9Y6M4,undefined,CSNK1G3,,0.113433698,0.240097081,0.241238872,0.232151721,0.112367397,0.060711232,0.107431523,0.23631475,0.24521047,0.223367244,0.119605092,0.068070922,0.102552166,0.220266088,0.253085398,0.222341248,0.130127492,0.071627608,,0.001948716,0.002109345,0.002493274,0.003703546,0.002040295,0.000442101,0.000964044,0.000544779,0.000683226,0.000919185,0.98415149,Q9Y6M4, ,CSNK1G3,0.984,Plasma membrane,no,Plasma membrane,Very High
P54760,Plasma membrane,EPHB4,,0.103894693,0.274290232,0.26789556,0.211323941,0.097281452,0.045314123,0.107381863,0.280487987,0.257140851,0.216444535,0.097233687,0.041311078,0.112694566,0.251954415,0.274643379,0.214422904,0.106292389,0.039992347,,0.001705618,0.001846465,0.001131399,0.001600982,0.005963127,0.000296707,0.00074386,0.001218176,0.000750735,0.000721312,0.984021619,P54760,Plasma membrane,EPHB4,0.984,Plasma membrane,no,Plasma membrane,Very High
P01891,undefined,HLA-A,,0.09728918,0.227472482,0.286145198,0.223648237,0.117223878,0.048221025,0.105640509,0.233115783,0.244516235,0.242878398,0.110452807,0.063396267,0.118624774,0.231637107,0.247106024,0.225717272,0.12281923,0.054095594,,0.001232589,0.004184031,0.002522713,0.002287854,0.001496871,0.000378725,0.00112657,0.000946661,0.000798001,0.001132169,0.983893815,P01891, ,HLA-A,0.984,Plasma membrane,no,Plasma membrane,Very High
Q93096,undefined,PTP4A1,,0.110483151,0.239271277,0.282845682,0.203642063,0.110444357,0.05331347,0.123666431,0.23914689,0.264985033,0.227824207,0.098582095,0.045795345,0.11816104,0.254941846,0.270705462,0.202331984,0.107126509,0.04673316,,0.001483466,0.00501879,0.001532628,0.001409097,0.002906275,0.000340351,0.000840785,0.001343436,0.000768825,0.001059166,0.98329718,Q93096, ,PTP4A1,0.983,Plasma membrane,no,Plasma membrane,Very High
P51511,undefined,MMP15,,0.083706799,0.244065543,0.267316831,0.229517945,0.10901778,0.066375102,0.097416468,0.258434042,0.261553222,0.238528393,0.096295933,0.047771941,0.108954111,0.211423252,0.261527365,0.255058938,0.116205587,0.046830747,,0.001077603,0.004742621,0.002203242,0.001720787,0.001846149,0.000330889,0.001294754,0.000848829,0.000808865,0.001864715,0.983261546,P51511, ,MMP15,0.983,Plasma membrane,no,Plasma membrane,Very High
Q14118,Plasma membrane,DAG1,,0.118647097,0.273001369,0.273158158,0.223675484,0.083871251,0.027646641,0.127119828,0.291135666,0.268832876,0.206949847,0.078132639,0.027829145,0.12709383,0.279198218,0.273043705,0.20948894,0.085348334,0.025826973,,0.002127369,0.002258512,0.001868618,0.000979257,0.004124939,0.000415942,0.001270431,0.001962328,0.000925855,0.000815472,0.983251277,Q14118,Plasma membrane,DAG1,0.983,Plasma membrane,no,Plasma membrane,Very High
P10114,undefined,RAP2A,,0.13378054,0.259695538,0.247562815,0.20641658,0.101776684,0.050767844,0.11372156,0.292314092,0.238400703,0.202365477,0.100863654,0.052334514,0.135135678,0.250286432,0.248693467,0.206447236,0.10859799,0.050839196,,0.005099927,0.001552093,0.001053142,0.00169511,0.004028907,0.00045246,0.000672523,0.001000812,0.000681606,0.000522507,0.983240914,P10114, ,RAP2A,0.983,Plasma membrane,no,Plasma membrane,Very High
Q8N9N7,undefined,LRRC57,,0.103747384,0.250130599,0.253241368,0.223473613,0.114502262,0.054904773,0.121852602,0.275569006,0.25481279,0.196373221,0.100266571,0.051125809,0.115641796,0.246013065,0.255957664,0.209812298,0.115062981,0.057512197,,0.002572795,0.001901177,0.001179677,0.002582892,0.004799765,0.000440636,0.000841712,0.001113591,0.000685049,0.00065045,0.983232257,Q8N9N7, ,LRRC57,0.983,Plasma membrane,no,Plasma membrane,Very High
P10316;P01892,undefined,HLA-A;HLA-A,,0.115897739,0.226020262,0.286951158,0.258499954,0.085172643,0.027458244,0.108618825,0.244651732,0.256585963,0.250753589,0.099675851,0.03971404,0.1095642,0.302290173,0.260204681,0.209744141,0.084600249,0.033596558,,0.001173779,0.003006298,0.002856644,0.00105456,0.001908164,0.000662198,0.001622486,0.002124135,0.001046659,0.001374294,0.983170784,P10316;P01892, ,HLA-A;HLA-A,0.983,Plasma membrane,no,Plasma membrane,Very High
Q15286,undefined,RAB35,,0.108659715,0.259698203,0.261262292,0.216208884,0.107739912,0.046430994,0.1178437,0.264891179,0.258617709,0.202675203,0.097342975,0.058629236,0.12507404,0.247702511,0.265368944,0.19746289,0.104019708,0.060371906,,0.00276719,0.00217371,0.001148524,0.002332422,0.005207049,0.00044264,0.000925477,0.001337235,0.000699218,0.000705936,0.9822606,Q15286, ,RAB35,0.982,Plasma membrane,no,Plasma membrane,Very High
P13987,Plasma membrane,CD59,,0.116273978,0.232303414,0.260513879,0.217502943,0.118452107,0.054953679,0.088639631,0.24862952,0.251541029,0.233383686,0.113542783,0.064263352,0.103771947,0.266148762,0.240851791,0.203394327,0.127925904,0.057907269,,0.00219885,0.002104464,0.001548325,0.003826673,0.004201331,0.000622259,0.000724413,0.00117588,0.000725092,0.000729542,0.98214317,P13987,Plasma membrane,CD59,0.982,Plasma membrane,no,Plasma membrane,Very High
Q15811,Plasma membrane,ITSN1,,0.145197467,0.260986492,0.228740556,0.19143825,0.102307224,0.071330011,0.128473437,0.255185112,0.228386702,0.223196095,0.113041949,0.051716705,0.164861661,0.255032797,0.21599791,0.215870047,0.09414769,0.054089895,,0.008670402,0.001297516,0.001734899,0.001244006,0.001718084,0.00056616,0.000635074,0.000749718,0.000771433,0.000591679,0.98202103,Q15811,Plasma membrane,ITSN1,0.982,Plasma membrane,no,Plasma membrane,Very High
O14917,Plasma membrane,PCDH17,,0.114376101,0.261081441,0.271547347,0.226587786,0.086450578,0.039956748,0.100568342,0.284729882,0.271089304,0.214493274,0.079573395,0.049545803,0.106596451,0.242418297,0.283939921,0.23746484,0.088592092,0.040988399,,0.001367727,0.004059649,0.00180365,0.001178745,0.004204848,0.000431923,0.001451921,0.001332925,0.000828217,0.001400668,0.981939726,O14917,Plasma membrane,PCDH17,0.982,Plasma membrane,no,Plasma membrane,Very High
Q9UIW2,Plasma membrane,PLXNA1,,0.097153688,0.222171937,0.270543179,0.224600232,0.113297712,0.072233253,0.095613476,0.265763715,0.248668336,0.22859094,0.102447075,0.058916458,0.094854134,0.222514182,0.261973146,0.227818841,0.128516992,0.064322705,,0.001367521,0.003660417,0.001919521,0.003913549,0.002869537,0.000505,0.001164017,0.000828448,0.000739362,0.001351971,0.981680657,Q9UIW2,Plasma membrane,PLXNA1,0.982,Plasma membrane,no,Plasma membrane,Very High
P63000;P63000-2;P60763;P15153,undefined,RAC1;RAC3;RAC2,,0.102333733,0.27893245,0.26236768,0.195651808,0.113122471,0.047591858,0.097853613,0.254451678,0.270341994,0.218441806,0.113511482,0.045399427,0.139456668,0.226830654,0.260726329,0.210126896,0.122333595,0.040525859,,0.002600264,0.002415393,0.001582405,0.002223428,0.005160119,0.000335499,0.00075422,0.001670269,0.00080249,0.000827564,0.981628348,P63000;P63000-2;P60763;P15153, ,RAC1;RAC3;RAC2,0.982,Plasma membrane,no,Plasma membrane,Very High
Q9UHN6,undefined,CEMIP2,,0.103884484,0.235020641,0.257817806,0.236775737,0.104094333,0.062406999,0.09557765,0.264453116,0.259346751,0.224908469,0.096810851,0.058903164,0.110638379,0.207403937,0.273947587,0.23746331,0.108324649,0.062222137,,0.001269762,0.005862413,0.002124216,0.001977357,0.00196076,0.00039681,0.001560031,0.000692447,0.00072344,0.001870445,0.981562319,Q9UHN6, ,CEMIP2,0.982,Plasma membrane,no,Plasma membrane,Very High
Q08345,Plasma membrane,DDR1,,0.108825293,0.236603617,0.258141873,0.238379968,0.113147218,0.044902031,0.112624946,0.237972145,0.2618246,0.229218691,0.101211461,0.057148159,0.112957612,0.230974547,0.288108081,0.220418022,0.092452572,0.055089166,,0.001129517,0.007390902,0.002185407,0.001212214,0.001685087,0.000327478,0.001378699,0.000723161,0.000737825,0.001723187,0.981506522,Q08345,Plasma membrane,DDR1,0.982,Plasma membrane,no,Plasma membrane,Very High
